CREATION_DATE,REGNO,FLT_NUM,STNFR,STNTO,AHRS,ACYC,N1EGTA,N1GLA,N1WB,N1PT,N1P2A,N1LCOT,N1LCIT,N1IGV,N1SCV,N1LOT,N1HOT,V1STA,V1EGTP,V1NPA,V1LOT,V1LCIT
2023-01-01 0:55,HL7585,KE0672,KUL,ICN,36825,27268,541,47,827,51.9,13.9,186,13,17,63,114,94,47,668,45,15,14
2023-01-01 2:06,HL7587,KE0630,DPS,ICN,38565,30562,577,46,818,51.7,13.8,187,28,18,64,116,96,48,687,44,16,15
2023-01-01 10:49,HL7553,KE1174,CJU,GMP,38658,30354,515,39,824,54.4,14,178,21,17,60,106,86,46,576,48,57,19
2023-01-01 12:27,HL7540,KE2102,HND,GMP,46588,33984,541,71,831,54.4,14,168,11,17,63,113,93,46,594,45,43,13
2023-01-01 13:06,HL7709,KE0648,SIN,ICN,49354,38051,562,61,815,52.7,13.9,192,33,18,64,123,100,54,643,47,65,37
2023-01-01 13:30,HL7584,KE0186,TPE,ICN,45511,36093,558,49,822,52.5,13.9,181,24,17,63,111,92,49,657,45,34,14
2023-01-01 13:56,HL7586,KE0138,WUH,ICN,23205,15375,511,45,824,56.9,14.1,171,16,17,58,106,88,44,641,46,23,4
2023-01-01 13:58,HL7524,KE0828,SZX,ICN,46857,35944,514,39,822,54.8,14,179,23,17,63,105,85,49,578,48,28,14
2023-01-01 14:03,HL7720,KE0704,NRT,ICN,48535,36142,527,53,828,55.1,13.7,175,13,17,66,110,91,45,552,48,40,10
2023-01-01 15:54,HL7701,KE0422,GUM,ICN,32634,27806,587,48,816,52,13.6,190,30,18,51,121,102,49,684,45,28,22
2023-01-01 19:06,HL7710,KE0622,MNL,ICN,52590,40172,569,50,815,52.1,13.8,192,33,18,60,118,98,51,641,43,8,20
2023-01-01 19:43,HL7553,KE1310,CJU,GMP,38663,30358,516,39,823,54.6,14.1,177,20,17,60,106,85,46,570,48,56,18
2023-01-02 3:49,HL7524,KE0690,PNH,ICN,46862,35947,535,46,816,51.6,13.6,187,32,18,63,113,93,52,634,41,73,39
2023-01-02 4:26,HL7709,KE0626,MNL,ICN,49359,38053,551,57,817,53.6,13.9,189,29,18,64,124,99,52,639,44,20,19
2023-01-02 10:44,HL7553,KE1174,CJU,GMP,38674,30361,508,41,825,55.3,14.1,174,16,17,60,104,84,45,565,48,53,14
2023-01-02 12:07,HL7701,KE0648,SIN,ICN,32640,27809,577,51,817,51.3,13.8,188,30,18,51,121,101,53,731,44,68,37
2023-01-02 12:30,HL7540,KE2102,HND,GMP,46600,33989,538,64,829,54.4,14,168,12,17,63,115,95,44,605,45,30,6
2023-01-02 13:40,HL7585,KE0622,MNL,ICN,36835,27275,549,47,827,51.3,13.9,191,13,17,63,118,98,47,655,46,23,14
2023-01-02 17:44,HL7710,KE0458,DAD,ICN,52596,40177,554,62,819,49.7,12.6,190,26,18,63,114,93,49,637,43,6,14
2023-01-03 1:24,HL7709,KE0668,CNX,ICN,49365,38056,526,49,823,53.2,13.5,183,21,17,64,115,91,51,643,36,16,11
2023-01-03 1:29,HL7720,KE0476,SGN,ICN,48546,36148,556,51,818,52.5,13.7,188,28,18,67,118,100,46,656,44,15,15
2023-01-03 2:26,HL7587,KE0630,DPS,ICN,38577,30569,580,49,818,51.4,13.7,188,29,18,64,116,96,48,701,44,18,17
2023-01-03 2:28,HL7586,KE0690,PNH,ICN,23216,15382,557,54,816,53.3,13.9,186,32,18,58,115,96,52,716,45,71,34
2023-01-03 10:41,HL7553,KE1174,CJU,GMP,38687,30369,511,40,824,55,14.1,176,18,17,60,105,85,45,562,49,54,15
2023-01-03 12:32,HL7540,KE2102,HND,GMP,46605,33992,542,73,827,54.6,14,168,12,17,63,117,96,45,606,45,35,9
2023-01-03 13:18,HL7554,KE0186,TPE,ICN,22685,15585,541,63,823,54.9,14.2,177,21,17,62,110,87,45,623,44,31,11
2023-01-03 14:15,HL7585,KE0622,MNL,ICN,36845,27279,559,75,829,51.8,13.9,186,13,17,62,116,95,46,639,46,25,14
2023-01-03 15:33,HL7701,KE0991,ICN,TAS,32649,27814,521,61,831,57.9,14,163,1,15,51,105,84,43,674,44,46,9
2023-01-03 19:58,HL7553,KE1310,CJU,GMP,38692,30373,511,40,824,55,14,175,18,17,60,104,84,46,571,48,54,16
