AC_NO,AC_TYPE,NR_REQUEST_DATE,CLOSE_DATE,MALFUNCTION,CORRECTIVE_ACTION
HL7586,330,2025-07-17 0:00:00,2025-07-18 4:19:24,HL7586 CBN ODOR T/S. (MO REQ),"(1) APU BLEED V/V DOWNSTREAM DUCT (FR97 TO FR79) INSP NML PER AMM TASK 36-12-41-400-801-A (2) APU AIR INTAKE DUCT OIL CONTAMINATION, SO CLEANED PER AMM TASK 49-16-00-100-801-A (3) APU AIR INTAKE FLAP INSP NML PER AMM TASK 49-16-00-200-801-A"
HL7587,330,2025-07-10 0:00:00,2025-07-10 22:11:13,APU AUTO SHUT DOWN DURING STARTING APU,"NO MAINTMSG, PERFORMED APU FUEL LINE BLEEDING AND THEN APU STARTING &amp; OPER RESULT NML PER AMM TASK 28-22-00-870-802-A/TASK 49-00-00-860-801-A01"
HL7587,330,2025-07-02 0:00:00,2025-07-03 17:36:32,APU FAILED,"MAINT MSG.282000, ACCORDING TO TSM 49-62-00-810-836-A, NO FAULT FOUND THEN RESET APU MASTER SW AND APU OPER` CHKED NML PER AMM TASK 49-00-00-710-801-A"
HL8002,330,2025-07-01 0:00:00,2025-07-02 4:22:59,WIRING CHK DUE FOR APU LCIT SENSOR ABNORMAL,"MAINT MSG : 492315, CONFIRMED FAULT, IAW TSM 49-23-00-810-801-A, WIRING CONTINUITY &amp; INSULATION CHK NML FROM APU LCIT SNSR TO APU ECB PER AWM 49-61-03, 49-15-01 (MI00010452)"
HL7585,330,2025-07-01 0:00:00,2025-07-05 12:06:02,"MEL 49-10-01A DEFER DUE (RELATED DEFER ITEM '1', PAGE 262222)",ALREADY COMPLETED BY W/O NBR: C42852939.
HL8002,330,2025-06-27 0:00:00,2025-07-01 23:30:00,[PREDICTIVE] APU LCIT SENSOR ABNORMAL,"FAULT CODE : 492315, REPLACED LCIT SNSR AND THEN OP CHK NML PER TSM TASK 49-23-00-810-801-A, AMM TASK 49-23-15-400-801-A "
HL7540,330,2025-06-21 0:00:00,2025-06-22 2:17:57,INSTALL DUE APU DMM FOR &quot; APU DMM Data Corruption&quot;,"NO MAINT MSG,CONFIRMED.INSTALLED APU DMM AND THEN APU O'P CHKED NML PER AMM 49-73-31-400-801-A"
HL7540,330,2025-06-19 0:00:00,2025-06-21 18:50:12,APU(S/N : R-371C) DEPRESERVATION DUE,PERFORMED APU DE-PRESERVATION AND APU OP CHK &amp; LEAK CHK NML PER AMM TASK 49-00-00-550-803-A.
HL8002,330,2025-06-04 0:00:00,2025-06-06 11:00:00,[PREDICTIVE] APU OIL TEMPERATURE TOO HIGH,NO MAINT MSG. REPLACED APU ECB THEN SYS OP CHK'D NML PER AMM TASK 49-61-34-400-801-A
HL8002,330,2025-06-01 0:00:00,2025-06-01 2:04:06,APU LCIT CHECK DUE FOR 'OIL TEMP TOO HIGH',"NO MAINT MSG, IAW TSM 49-23-00-810-801-A ECB BITE TEST NML, WIRING AND RESISTANCE CHKED NML FROM ECB TO LCIT(66&Omega;, NML: 55-67&Omega;) THEN CLEANED LCIT TERMINAL LUGS AND SYS OP TEST NML PER AMM 49-00-00-740-801-A /49-23-15-400-801-A"
HL8002,330,2025-05-30 0:00:00,2025-06-01 8:34:46,[PREDICTIVE] APU OIL TEMPERATURE TOO HIGH,"NO MAINT MSG, IAW TSM 49-23-00-810-801-A ECB BITE TEST NML, WIRING AND RESISTANCE CHKED NML FROM ECB TO LCIT(66&Omega;, NML: 55-67&Omega;) THEN CLEANED LCIT TERMINAL LUGS AND SYS OP TEST NML PER AMM 49-00-00-740-801-A /49-23-15-400-801-A"
HL8026,330,2025-05-27 0:00:00,2025-05-28 2:10:13,&quot;APU BLEED VALVE (59KH7)&quot;  MSG ON ACARS,MAINT MSG: 495151 IAW TSM TASK 49-62-00-810-841-A. REPLACED APU BLEED VALVE &amp; FILTER ELEMENT AND THEN OP' TEST &amp; LEAK CHK NML PER AMM TASK 49-51-51-400-801-A.
HL8026,330,2025-05-27 0:00:00,2025-05-28 1:30:00,&quot;APU BLEED VALVE (59KH7)&quot; MSG ON ACARS RELATED WIRING CHK DUE,"MAINT MSG 495151, NOT CONFIRMED. IAW TSM 49-62-00-810-841-A, WIRING CHKED NML FROM APU ECB TO APU BLEED VALVE(59KH7) , BUT REPLACED APU ECB BY MOT REQUEST THEN SYS OP TESTED NML PER AMM 49-61-34-400-801-A , AWM 49-15-01"
HL7586,330,2025-05-27 0:00:00,2025-05-26 23:40:00,SURGE CONTROL VALVE DUCT TORN,"NO MAINT MSG, REPLACED APU SURGE CONTROL VALVE DUCT SLEEVE AND LEAK CHK NML PER AMM TASK 49-51-52-400-801-A"
HL7553,330,2025-05-23 0:00:00,2025-05-24 1:35:28,FUEL APU AFT PUMP FAULT DISPLAYED DURING TAXI,MSG NO.282212 ACCORDING TO TSM TASK 28-22-00-810-801-A REPLACED APU AFT PUMP PRESS SWITCH (59KF17) AND THEN  INPUT PARAMETER CHECK &amp; APU O'P CHKED NML PER AMM TASK 49-34-11-400-801-A
HL7553,330,2025-05-21 0:00:00,2025-05-22 6:20:28,APU SURGE CONTROL V/V DRAIN HOSE TORN,"REPLACED APU SURGE CONTROL VALVE, DRAIN HOSE PER AMM TASK 49-51-52-400-801-A"
HL8026,330,2025-05-15 0:00:00,2025-05-21 1:00:00,[PREDICTIVE] APU LOAD CONTROL VALVE (59KH7) ABNORMAL OPERATION,APU BLEED CHK VLV INSPECTION NML PER AMM TASK 36-12-51-200-801-A. SO REPLACED APU BLEED VLV AND OP' &amp; LEAK CHK NML PER AMM TASK 49-51-51-400-801-A
HL8027,330,2025-05-14 0:00:00,2025-05-14 4:05:18,"WIRING CHK DUR FOR 'AFTER ENG SHUTDOWN, &quot;AIR APU BLEED FAULT&quot; APPEARED'","MAINT MSG: 492351, CONFIRMED FAULT 'IGV LVDT PRIMARY SHOWS OPEN CIRCUIT / FCN:046, I/A/W TSM 49-62-00-810-846-A, WIRING CHK'D NML FROM APU ECB(59KD) TO INLET GUIDE VANE ACTUATOR (59KE21) (MEASURE : 123.8&#8486;  REQUIRED VALUE : 94-126&#8486;) PER AWM 49-15-01"
