Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-16 2:42,HL8003,KAL832,ZYTX,RKSI,104,36,,,90.8,,1,-19.7,-2.5,18.85,22
2025-07-16 2:34,HL7709,KAL1188,RKPC,RKSS,99,33,,,89.4,,2,-15.25,0.5,19.55,23
2025-07-16 1:29,HL7584,KAL1174,RKPC,RKSS,100,32,,,91.6,90.6,3,-7.3,6,22.45,25
2025-07-16 1:12,HL8025,KAL137,RKSI,ZHHH,97,25,,,97,92.66666667,4,1.75,12,26.25,27.5
2025-07-16 0:31,HL7585,KAL811,RKSI,ZLXY,89,23,,,91.4,93.33333333,5,9.7,17,30.15,29
2025-07-16 0:13,HL7586,KAL1150,RKPC,RKSS,102,37,,,87.6,92,6,14.3,21.5,32.45,30.5
2025-07-16 0:03,HL8025,KAL137,RKSI,ZHHH,96,24,,,97.2,92.06666667,7,15.9,25,34.75,30
2025-07-15 23:55,HL8026,KAL865,RKSI,ZGGG,96,31,,,88.8,91.2,8,13.45,26,34.85,29.5
2025-07-15 23:32,HL8002,KAL648,WSSS,RKSI,106,40,,,88,91.33333333,9,7.95,22,32.5,28
2025-07-15 23:05,HL8003,KAL831,RKSI,ZYTX,100,35,,,88,88.26666667,10,1.75,15.5,28.9,26
2025-07-15 17:02,HL8003,KAL720,RJTT,RKSI,105,40,,,87,87.66666667,11,-8.9,7.5,24.4,24.5
2025-07-15 15:43,HL7701,KAL486,VVPQ,RKSI,100,29,,,95.2,90.06666667,12,-16.75,-0.5,20.8,22.5
2025-07-15 14:51,HL8025,KAL658,VTBS,RKSI,103,32,,,94.6,92.26666667,,,,,
2025-07-15 14:36,HL8002,KAL647,RKSI,WSSS,103,34,,,92.2,94,,,,,
2025-07-15 13:43,HL8026,KAL498,VIDP,RKSI,103,40,,,85,90.6,,,,,
2025-07-15 11:42,HL8003,KAL719,RKSI,RJTT,102,36,,,88.8,88.66666667,,,,,
2025-07-15 10:10,HL7553,KAL689,RKSI,VDPP,94,33,,,84.4,86.06666667,,,,,
2025-07-15 7:48,HL7585,KAL671,RKSI,WMKK,90,23,,,92.4,88.53333333,,,,,
2025-07-15 7:28,HL7710,KAL633,RKSI,WADD,99,34,,,88.2,88.33333333,,,,,
2025-07-15 5:41,HL8002,KAL828,ZGSZ,RKSI,112,44,,,89.2,,98.14285714,,,,
2025-07-15 5:30,HL7709,KAL1348,RKPC,RKSS,100,34,,,89.2,,104.1818182,,,,
2025-07-15 4:53,HL8026,KAL497,RKSI,VIDP,96,31,,,88.8,,,,,,
2025-07-15 4:44,HL8003,KAL812,ZLXY,RKSI,119,54,,,84.2,,,,,,
2025-07-15 2:40,HL7701,KAL132,ZHCC,RKSI,107,35,,,,,,,,,
2025-07-15 2:37,HL7586,KAL1188,RKPC,RKSS,100,36,,,,,,,,,
2025-07-15 1:49,HL7587,KAL703,RKSI,RJAA,96,26,,,94.8,,,,,,
2025-07-15 1:29,HL7584,KAL1174,RKPC,RKSS,99,33,,,,,,,,,
2025-07-15 0:38,HL8025,KAL657,RKSI,VTBS,97,25,,,97,,,,,,
2025-07-14 23:41,HL8002,KAL827,RKSI,ZGSZ,101,34,,,90.2,,,,,,
2025-07-14 23:15,HL7553,KAL197,RKSI,ZMCK,92,32,,,83.6,,,,,,
