Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,Compensated_avg
2025-07-16 1:12,HL8025,KAL137,RKSI,ZHHH,97,25,,,97,97
2025-07-16 0:31,HL7585,KAL811,RKSI,ZLXY,89,23,,,91.4,95.2
2025-07-16 0:03,HL8025,KAL137,RKSI,ZHHH,96,24,,,97.2,92.46666667
2025-07-15 23:55,HL8026,KAL865,RKSI,ZGGG,96,31,,,88.8,91.33333333
2025-07-15 23:05,HL8003,KAL831,RKSI,ZYTX,100,35,,,88,89.66666667
2025-07-15 14:36,HL8002,KAL647,RKSI,WSSS,103,34,,,92.2,89.66666667
2025-07-15 11:42,HL8003,KAL719,RKSI,RJTT,102,36,,,88.8,88.46666667
2025-07-15 10:10,HL7553,KAL689,RKSI,VDPP,94,33,,,84.4,88.53333333
2025-07-15 7:48,HL7585,KAL671,RKSI,WMKK,90,23,,,92.4,88.33333333
2025-07-15 7:28,HL7710,KAL633,RKSI,WADD,99,34,,,88.2,89.8
2025-07-15 4:53,HL8026,KAL497,RKSI,VIDP,96,31,,,88.8,90.6
2025-07-15 1:49,HL7587,KAL703,RKSI,RJAA,96,26,,,94.8,93.53333333
2025-07-15 0:38,HL8025,KAL657,RKSI,VTBS,97,25,,,97,94
2025-07-14 23:41,HL8002,KAL827,RKSI,ZGSZ,101,34,,,90.2,90.26666667
2025-07-14 23:15,HL7553,KAL197,RKSI,ZMCK,92,32,,,83.6,88.6
2025-07-14 12:00,HL8002,KAL719,RKSI,RJTT,104,35,,,92,87.13333333
2025-07-14 11:07,HL8027,KAL407,RKSI,YBBN,93,31,,,85.8,88.46666667
2025-07-14 5:04,HL8003,KAL695,RKSI,VNKT,102,37,,,87.6,86.93333333
2025-07-14 4:25,HL8026,KAL951,RKSI,OMDB,97,33,,,87.4,90.6
2025-07-14 1:17,HL7701,KAL657,RKSI,VTBS,98,26,,,96.8,92
2025-07-14 0:29,HL7702,KAL811,RKSI,ZLXY,99,31,,,91.8,97
2025-07-14 0:21,HL7720,KAL805,RKSI,ZBTJ,106,28,,,102.4,93.2
2025-07-14 0:16,HL8027,KAL827,RKSI,ZGSZ,95,33,,,85.4,91.66666667
2025-07-13 23:16,HL7710,KAL197,RKSI,ZMCK,98,34,,,87.2,88.53333333
2025-07-13 11:58,HL8002,KAL719,RKSI,RJTT,105,35,,,93,89.6
2025-07-13 10:11,HL8027,KAL689,RKSI,VDPP,97,32,,,88.6,92.8
2025-07-13 5:09,HL8025,KAL497,RKSI,VIDP,98,26,,,96.8,90.86666667
2025-07-13 4:45,HL8026,KAL951,RKSI,OMDB,98,34,,,87.2,91.8
2025-07-12 23:58,HL7585,KAL865,RKSI,ZGGG,95,28,,,91.4,88.13333333
2025-07-12 23:55,HL7710,KAL137,RKSI,ZHHH,99,36,,,85.8,88.93333333
2025-07-12 23:47,HL8002,KAL827,RKSI,ZGSZ,104,37,,,89.6,87.53333333
2025-07-12 11:11,HL8003,KAL407,RKSI,YBBN,104,39,,,87.2,87.93333333
2025-07-12 10:37,HL8027,KAL195,RKSI,ZMCK,99,35,,,87,86.86666667
2025-07-12 10:13,HL8026,KAL689,RKSI,VDPP,102,38,,,86.4,91
2025-07-12 9:37,HL7720,KAL671,RKSI,WMKK,108,32,,,99.6,93.53333333
2025-07-12 4:47,HL8025,KAL951,RKSI,OMDB,103,32,,,94.6,94.66666667
2025-07-12 4:08,HL7702,KAL869,RKSI,ZYTL,103,36,,,89.8,90.46666667
2025-07-12 0:12,HL8027,KAL811,RKSI,ZLXY,99,35,,,87,88.26666667
2025-07-11 23:34,HL8003,KAL197,RKSI,ZMCK,106,40,,,88,88
2025-07-11 11:16,HL8026,KAL407,RKSI,YBBN,107,40,,,89,88.73333333
2025-07-11 6:46,HL8002,KAL725,RKSI,RJBB,112,44,,,89.2,91.13333333
2025-07-11 5:39,HL8025,KAL951,RKSI,OMDB,106,34,,,95.2,91.2
2025-07-11 4:57,HL7585,KAL869,RKSI,ZYTL,100,34,,,89.2,90.33333333
2025-07-11 0:42,HL8003,KAL657,RKSI,VTBS,107,42,,,86.6,87.26666667
2025-07-11 0:10,HL7554,KAL137,RKSI,ZHHH,104,40,,,86,88.06666667
2025-07-10 23:16,HL8002,KAL831,RKSI,ZYTX,106,37,,,91.6,89.86666667
2025-07-10 14:41,HL7587,KAL647,RKSI,WSSS,98,30,,,92,94.66666667
2025-07-10 11:46,HL7720,KAL719,RKSI,RJTT,110,33,,,100.4,91.93333333
2025-07-10 8:36,HL7710,KAL485,RKSI,VVPQ,105,43,,,83.4,91.06666667
2025-07-10 7:52,HL7585,KAL633,RKSI,WADD,99,33,,,89.4,86.13333333
2025-07-10 7:40,HL8003,KAL671,RKSI,WMKK,112,47,,,85.6,90.26666667
2025-07-10 5:19,HL8025,KAL951,RKSI,OMDB,109,36,,,95.8,90.33333333
2025-07-10 0:41,HL8002,KAL657,RKSI,VTBS,110,42,,,89.6,92.73333333
2025-07-09 23:58,HL7587,KAL137,RKSI,ZHHH,100,31,,,92.8,94.73333333
2025-07-09 23:15,HL7720,KAL197,RKSI,ZMCK,109,31,,,101.8,93.6
2025-07-09 23:08,HL7710,KAL831,RKSI,ZYTX,103,39,,,86.2,94.4
2025-07-09 11:52,HL7701,KAL719,RKSI,RJTT,100,29,,,95.2,89.53333333
2025-07-09 11:09,HL8026,KAL407,RKSI,YBBN,104,39,,,87.2,90.33333333
2025-07-09 10:13,HL8002,KAL689,RKSI,VDPP,109,42,,,88.6,84.93333333
2025-07-09 8:32,HL7554,KAL713,RKSI,RJAA,103,45,,,79,83.8
2025-07-09 6:29,HL8027,KAL725,RKSI,RJBB,103,41,,,83.8,81.73333333
2025-07-09 5:53,HL8003,KAL869,RKSI,ZYTL,110,48,,,82.4,88.4
2025-07-09 1:06,HL7720,KAL657,RKSI,VTBS,111,35,,,99,90.33333333
2025-07-09 0:12,HL8002,KAL811,RKSI,ZLXY,110,42,,,89.6,92.26666667
2025-07-08 23:24,HL8026,KAL197,RKSI,ZMCK,105,39,,,88.2,89.2
2025-07-08 23:01,HL7585,KAL131,RKSI,ZHCC,97,31,,,89.8,87.93333333
2025-07-08 11:45,HL7710,KAL719,RKSI,RJTT,105,41,,,85.8,88
2025-07-08 7:39,HL8002,KAL671,RKSI,WMKK,110,43,,,88.4,86.26666667
2025-07-08 5:44,HL8027,KAL951,RKSI,OMDB,105,42,,,84.6,86.8
2025-07-08 4:49,HL8026,KAL497,RKSI,VIDP,109,43,,,87.4,85.66666667
2025-07-08 3:11,HL7554,KAL657,RKSI,VTBS,109,45,,,85,89.26666667
2025-07-08 0:12,HL7701,KAL827,RKSI,ZGSZ,99,28,,,95.4,88.66666667
2025-07-07 23:08,HL8027,KAL831,RKSI,ZYTX,100,37,,,85.6,90.53333333
2025-07-07 11:22,HL8003,KAL407,RKSI,YBBN,105,37,,,90.6,89.86666667
2025-07-07 8:27,HL7587,KAL489,RKSI,VYYY,97,28,,,93.4,90.13333333
2025-07-07 8:21,HL7554,KAL485,RKSI,VVPQ,102,38,,,86.4,88.86666667
2025-07-07 5:03,HL8027,KAL695,RKSI,VNKT,100,36,,,86.8,86.53333333
2025-07-07 4:42,HL8026,KAL951,RKSI,OMDB,102,38,,,86.4,87.8
2025-07-06 23:47,HL8003,KAL197,RKSI,ZMCK,107,39,,,90.2,90.46666667
2025-07-06 14:45,HL7587,KAL647,RKSI,WSSS,96,26,,,94.8,93.6
2025-07-06 10:27,HL7701,KAL689,RKSI,VDPP,97,26,,,95.8,94.33333333
2025-07-06 8:14,HL7702,KAL633,RKSI,WADD,102,33,,,92.4,91.93333333
2025-07-06 7:41,HL8026,KAL671,RKSI,WMKK,102,37,,,87.6,89.26666667
2025-07-06 4:47,HL8027,KAL951,RKSI,OMDB,101,36,,,87.8,87.26666667
2025-07-05 23:08,HL7554,KAL131,RKSI,ZHCC,102,38,,,86.4,87.93333333
2025-07-05 14:42,HL7702,KAL647,RKSI,WSSS,98,32,,,89.6,88.13333333
2025-07-05 11:22,HL8002,KAL407,RKSI,YBBN,104,38,,,88.4,89.13333333
2025-07-05 10:57,HL8003,KAL195,RKSI,ZMCK,105,38,,,89.4,89.73333333
2025-07-05 7:39,HL7585,KAL671,RKSI,WMKK,95,28,,,91.4,94.33333333
2025-07-05 7:16,HL7720,KAL633,RKSI,WADD,107,29,,,102.2,93.13333333
2025-07-05 5:36,HL8027,KAL951,RKSI,OMDB,99,36,,,85.8,93.06666667
2025-07-05 1:10,HL8002,KAL765,RKSI,RJCC,108,39,,,91.2,87.86666667
2025-07-05 0:59,HL8026,KAL657,RKSI,VTBS,101,37,,,86.6,90.4
2025-07-05 0:50,HL7587,KAL811,RKSI,ZLXY,97,28,,,93.4,91.93333333
2025-07-05 0:00,HL7701,KAL865,RKSI,ZGGG,97,26,,,95.8,93.66666667
2025-07-04 23:50,HL7702,KAL827,RKSI,ZGSZ,99,31,,,91.8,91.66666667
2025-07-04 11:25,HL8003,KAL407,RKSI,YBBN,103,38,,,87.4,88.33333333
2025-07-04 5:05,HL8026,KAL695,RKSI,VNKT,99,36,,,85.8,91.2
2025-07-04 1:48,HL7720,KAL137,RKSI,ZHHH,104,28,,,100.4,91.93333333
2025-07-04 0:47,HL8002,KAL657,RKSI,VTBS,104,37,,,89.6,93.13333333
2025-07-04 0:01,HL8003,KAL827,RKSI,ZGSZ,105,38,,,89.4,90.46666667
2025-07-03 9:12,HL7587,KAL485,RKSI,VVPQ,96,28,,,92.4,89.53333333
2025-07-03 5:48,HL8003,KAL497,RKSI,VIDP,106,41,,,86.8,88.53333333
2025-07-03 5:27,HL8026,KAL951,RKSI,OMDB,102,38,,,86.4,87.33333333
2025-07-03 1:12,HL7702,KAL811,RKSI,ZLXY,96,31,,,88.8,90.8
2025-07-02 23:53,HL7701,KAL827,RKSI,ZGSZ,96,24,,,97.2,90.33333333
2025-07-02 23:04,HL7710,KAL131,RKSI,ZHCC,97,35,,,85,89.8
2025-07-02 11:15,HL8027,KAL407,RKSI,YBBN,98,34,,,87.2,86.66666667
2025-07-02 8:25,HL8026,KAL485,RKSI,VVPQ,101,36,,,87.8,89.2
2025-07-02 7:28,HL7587,KAL671,RKSI,WMKK,95,27,,,92.6,88.86666667
2025-07-01 23:38,HL8027,KAL827,RKSI,ZGSZ,97,34,,,86.2,88.06666667
2025-07-01 23:05,HL7554,KAL831,RKSI,ZYTX,101,38,,,85.4,86.86666667
2025-07-01 10:13,HL7710,KAL689,RKSI,VDPP,101,35,,,89,90
2025-07-01 7:31,HL7587,KAL633,RKSI,WADD,98,27,,,95.6,90
2025-07-01 4:55,HL8026,KAL951,RKSI,OMDB,101,38,,,85.4,89.73333333
2025-07-01 0:37,HL8027,KAL657,RKSI,VTBS,99,34,,,88.2,96.6
2025-06-30 11:38,HL8002,KAL407,RKSI,YBBN,106,13,,,116.2,97.8
2025-06-30 10:21,HL7587,KAL667,RKSI,VTCC,98,29,,,89,99.53333333
2025-06-30 8:22,HL7701,KAL485,RKSI,VVPQ,100,27,,,93.4,91.53333333
2025-06-30 7:57,HL7585,KAL633,RKSI,WADD,100,28,,,92.2,89.13333333
2025-06-30 5:11,HL8027,KAL695,RKSI,VNKT,98,35,,,81.8,85.13333333
2025-06-30 5:09,HL7710,KAL869,RKSI,ZYTL,100,37,,,81.4,82.26666667
2025-06-30 4:54,HL8026,KAL951,RKSI,OMDB,101,36,,,83.6,83.46666667
2025-06-30 0:35,HL8003,KAL657,RKSI,VTBS,104,37,,,85.4,88.46666667
2025-06-30 0:21,HL7720,KAL805,RKSI,ZBTJ,103,27,,,96.4,98.66666667
2025-06-29 23:41,HL8002,KAL827,RKSI,ZGSZ,104,13,,,114.2,101.4666667
2025-06-29 23:09,HL7701,KAL831,RKSI,ZYTX,98,25,,,93.8,100.2666667
2025-06-29 14:41,HL7585,KAL647,RKSI,WSSS,97,25,,,92.8,89.8
2025-06-29 11:18,HL8026,KAL853,RKSI,ZBAA,99,35,,,82.8,86.13333333
2025-06-29 4:48,HL8003,KAL497,RKSI,VIDP,105,40,,,82.8,92.93333333
2025-06-29 0:54,HL8002,KAL657,RKSI,VTBS,103,13,,,113.2,93.4
2025-06-29 0:27,HL7710,KAL811,RKSI,ZLXY,98,33,,,84.2,97.53333333
2025-06-29 0:03,HL7701,KAL137,RKSI,ZHHH,97,23,,,95.2,90.4
2025-06-28 23:55,HL7585,KAL865,RKSI,ZGGG,96,25,,,91.8,92.2
2025-06-28 23:11,HL7587,KAL131,RKSI,ZHCC,95,26,,,89.6,87.86666667
2025-06-28 11:41,HL8026,KAL407,RKSI,YBBN,96,33,,,82.2,89.46666667
2025-06-28 8:19,HL7720,KAL485,RKSI,VVPQ,102,26,,,96.6,98.66666667
2025-06-28 7:29,HL8002,KAL633,RKSI,WADD,107,13,,,117.2,99.46666667
2025-06-28 4:36,HL8003,KAL951,RKSI,OMDB,102,36,,,84.6,92.46666667
2025-06-28 1:41,HL8001,KAL2971,RKSI,WMKK,93,36,,,75.6,84.73333333
2025-06-28 1:12,HL7587,KAL765,RKSI,RJCC,97,24,,,94,85.13333333
2025-06-28 0:36,HL8027,KAL657,RKSI,VTBS,96,30,,,85.8,97.33333333
2025-06-28 0:24,HL8002,KAL805,RKSI,ZBTJ,102,13,,,112.2,96.73333333
2025-06-27 23:54,HL7701,KAL827,RKSI,ZGSZ,94,23,,,92.2,100.6666667
2025-06-27 23:12,HL7720,KAL831,RKSI,ZYTX,103,26,,,97.6,90.2
2025-06-27 11:39,HL8026,KAL407,RKSI,YBBN,97,35,,,80.8,86.33333333
2025-06-27 8:52,HL7554,KAL713,RKSI,RJAA,104,41,,,80.6,79.73333333
2025-06-27 8:12,HL8001,KAL633,RKSI,WADD,100,40,,,77.8,79.8
2025-06-27 5:28,HL8027,KAL695,RKSI,VNKT,96,34,,,81,80.66666667
2025-06-27 4:43,HL8003,KAL951,RKSI,OMDB,103,38,,,83.2,92.46666667
2025-06-27 0:44,HL8002,KAL657,RKSI,VTBS,103,13,,,113.2,98.13333333
2025-06-26 23:48,HL7720,KAL865,RKSI,ZGGG,101,24,,,98,99
2025-06-26 23:46,HL8026,KAL827,RKSI,ZGSZ,96,30,,,85.8,91.66666667
2025-06-26 10:11,HL7585,KAL689,RKSI,VDPP,93,23,,,91.2,87.53333333
2025-06-26 7:36,HL8003,KAL633,RKSI,WADD,103,36,,,85.6,87.46666667
2025-06-26 4:44,HL8026,KAL497,RKSI,VIDP,97,31,,,85.6,93.8
2025-06-26 0:39,HL8002,KAL657,RKSI,VTBS,100,13,,,110.2,93.86666667
2025-06-25 23:54,HL7710,KAL865,RKSI,ZGGG,96,30,,,85.8,96.46666667
2025-06-25 23:15,HL7587,KAL197,RKSI,ZMCK,94,22,,,93.4,86.46666667
2025-06-25 11:30,HL8001,KAL407,RKSI,YBBN,94,33,,,80.2,90.33333333
2025-06-25 9:42,HL7720,KAL667,RKSI,VTCC,98,22,,,97.4,90.46666667
2025-06-25 8:28,HL7701,KAL485,RKSI,VVPQ,92,20,,,93.8,92.06666667
2025-06-25 5:03,HL8026,KAL951,RKSI,OMDB,94,29,,,85,90.13333333
2025-06-25 4:07,HL7585,KAL869,RKSI,ZYTL,91,21,,,91.6,87
2025-06-25 0:32,HL7554,KAL811,RKSI,ZLXY,97,32,,,84.4,84.73333333
2025-06-24 23:43,HL8001,KAL827,RKSI,ZGSZ,92,33,,,78.2,86.46666667
2025-06-24 14:44,HL7701,KAL647,RKSI,WSSS,95,20,,,96.8,96.73333333
2025-06-24 7:36,HL8002,KAL633,RKSI,WADD,105,13,,,115.2,98.2
2025-06-24 4:47,HL8026,KAL951,RKSI,OMDB,100,36,,,82.6,92.2
2025-06-24 4:42,HL8001,KAL497,RKSI,VIDP,101,40,,,78.8,91.53333333
2025-06-24 0:26,HL8002,KAL805,RKSI,ZBTJ,103,13,,,113.2,94.93333333
2025-06-24 0:03,HL7701,KAL827,RKSI,ZGSZ,97,25,,,92.8,96.13333333
2025-06-23 11:11,HL8027,KAL407,RKSI,YBBN,95,32,,,82.4,96.8
2025-06-23 7:32,HL8002,KAL633,RKSI,WADD,105,13,,,115.2,92.93333333
2025-06-23 7:12,HL7554,KAL725,RKSI,RJBB,101,38,,,81.2,93.2
2025-06-23 4:46,HL8026,KAL695,RKSI,VNKT,97,33,,,83.2,82.8
2025-06-23 0:19,HL8027,KAL811,RKSI,ZLXY,93,29,,,84,84.6
2025-06-22 23:29,HL7702,KAL197,RKSI,ZMCK,92,26,,,86.6,84.53333333
2025-06-22 9:13,HL8027,KAL485,RKSI,VVPQ,92,29,,,83,84.13333333
2025-06-22 8:21,HL8027,KAL485,RKSI,VVPQ,93,30,,,82.8,85.66666667
2025-06-22 7:46,HL7587,KAL671,RKSI,WMKK,93,23,,,91.2,83.93333333
2025-06-22 4:40,HL8001,KAL497,RKSI,VIDP,94,35,,,77.8,84.2
2025-06-22 0:10,HL7710,KAL137,RKSI,ZHHH,95,31,,,83.6,86.46666667
2025-06-21 23:48,HL7720,KAL827,RKSI,ZGSZ,101,24,,,98,87.26666667
2025-06-21 23:10,HL7554,KAL831,RKSI,ZYTX,88,28,,,80.2,87.06666667
2025-06-21 23:05,HL8027,KAL131,RKSI,ZHCC,92,29,,,83,91.13333333
2025-06-21 11:18,HL8002,KAL407,RKSI,YBBN,100,13,,,110.2,92.33333333
2025-06-21 9:56,HL8026,KAL689,RKSI,VDPP,94,30,,,83.8,96.73333333
2025-06-21 9:27,HL7720,KAL667,RKSI,VTCC,98,23,,,96.2,87.66666667
2025-06-21 8:34,HL8027,KAL485,RKSI,VVPQ,92,29,,,83,87.4
2025-06-21 6:15,HL7554,KAL725,RKSI,RJBB,98,34,,,83,81.4
2025-06-21 4:57,HL8001,KAL951,RKSI,OMDB,92,33,,,78.2,82.13333333
2025-06-21 1:53,HL8027,KAL805,RKSI,ZBTJ,93,28,,,85.2,82.46666667
2025-06-21 1:39,HL8026,KAL765,RKSI,RJCC,93,29,,,84,92.8
2025-06-20 11:17,HL8002,KAL407,RKSI,YBBN,99,13,,,109.2,91.8
2025-06-20 10:09,HL7554,KAL667,RKSI,VTCC,96,33,,,82.2,91.73333333
2025-06-20 8:42,HL8027,KAL633,RKSI,WADD,94,30,,,83.8,82.8
2025-06-20 8:19,HL8026,KAL695,RKSI,VNKT,95,32,,,82.4,82.86666667
2025-06-20 5:48,HL8026,KAL695,RKSI,VNKT,95,32,,,82.4,92
2025-06-20 0:12,HL8002,KAL865,RKSI,ZGGG,101,13,,,111.2,92.4
2025-06-19 23:04,HL8027,KAL131,RKSI,ZHCC,95,31,,,83.6,103.6666667
2025-06-19 8:05,HL8002,KAL671,RKSI,WMKK,106,13,,,116.2,94.06666667
2025-06-19 5:16,HL8026,KAL951,RKSI,OMDB,101,37,,,82.4,98
2025-06-19 0:19,HL7585,KAL811,RKSI,ZLXY,96,22,,,95.4,90.86666667
2025-06-18 23:07,HL7701,KAL831,RKSI,ZYTX,93,20,,,94.8,89.2
2025-06-18 11:30,HL8001,KAL407,RKSI,YBBN,96,37,,,77.4,85.26666667
2025-06-18 8:39,HL7710,KAL485,RKSI,VVPQ,101,36,,,83.6,81.2
2025-06-18 6:08,HL8027,KAL869,RKSI,ZYTL,94,31,,,82.6,86.06666667
2025-06-17 23:56,HL7587,KAL865,RKSI,ZGGG,89,19,,,92,84.4
2025-06-17 23:47,HL8001,KAL827,RKSI,ZGSZ,90,31,,,78.6,88.26666667
2025-06-17 7:19,HL8002,KAL633,RKSI,WADD,102,28,,,94.2,85
2025-06-17 6:10,HL8027,KAL951,RKSI,OMDB,96,33,,,82.2,84.26666667
2025-06-17 4:01,HL8001,KAL497,RKSI,VIDP,95,37,,,76.4,80
2025-06-17 1:35,HL7710,KAL741,RKSI,RJGG,94,32,,,81.4,83.4
2025-06-17 0:30,HL7585,KAL811,RKSI,ZLXY,93,22,,,92.4,87.46666667
2025-06-17 0:29,HL7702,KAL137,RKSI,ZHHH,94,26,,,88.6,91.86666667
2025-06-17 0:17,HL8002,KAL805,RKSI,ZBTJ,100,26,,,94.6,89.06666667
2025-06-16 23:57,HL8003,KAL865,RKSI,ZGGG,99,34,,,84,87.4
2025-06-16 11:25,HL8026,KAL407,RKSI,YBBN,95,31,,,83.6,87.33333333
2025-06-16 9:49,HL8002,KAL667,RKSI,VTCC,101,27,,,94.4,89.73333333
2025-06-16 7:12,HL7587,KAL725,RKSI,RJBB,93,23,,,91.2,89.86666667
2025-06-16 5:52,HL8003,KAL695,RKSI,VNKT,99,34,,,84,87.66666667
2025-06-16 5:12,HL8027,KAL951,RKSI,OMDB,98,30,,,87.8,84.73333333
2025-06-16 4:59,HL8026,KAL869,RKSI,ZYTL,95,32,,,82.4,87.53333333
2025-06-15 23:10,HL7587,KAL831,RKSI,ZYTX,93,22,,,92.4,90.86666667
2025-06-15 9:43,HL7720,KAL667,RKSI,VTCC,102,25,,,97.8,90.06666667
2025-06-15 7:37,HL8027,KAL633,RKSI,WADD,95,34,,,80,85.53333333
2025-06-15 5:07,HL8001,KAL497,RKSI,VIDP,101,40,,,78.8,80.66666667
2025-06-15 4:45,HL8026,KAL951,RKSI,OMDB,103,38,,,83.2,86.06666667
2025-06-15 0:35,HL7701,KAL811,RKSI,ZLXY,92,18,,,96.2,88.66666667
2025-06-14 23:52,HL7702,KAL865,RKSI,ZGGG,92,26,,,86.6,88.73333333
2025-06-14 23:11,HL7554,KAL831,RKSI,ZYTX,96,32,,,83.4,84.46666667
2025-06-14 23:06,HL8027,KAL131,RKSI,ZHCC,90,27,,,83.4,83.66666667
2025-06-14 11:47,HL7554,KAL719,RKSI,RJTT,98,33,,,84.2,83.86666667
2025-06-14 11:31,HL8003,KAL407,RKSI,YBBN,99,34,,,84,83.53333333
2025-06-14 7:14,HL8026,KAL633,RKSI,WADD,101,37,,,82.4,81.13333333
2025-06-14 4:35,HL8001,KAL951,RKSI,OMDB,98,39,,,77,85.2
2025-06-14 1:30,HL8002,KAL765,RKSI,RJCC,104,28,,,96.2,85.26666667
2025-06-13 22:51,HL8026,KAL845,RKSI,ZSQD,94,31,,,82.6,92.06666667
2025-06-13 14:44,HL7720,KAL647,RKSI,WSSS,98,22,,,97.4,88.8
2025-06-13 11:16,HL8003,KAL407,RKSI,YBBN,99,32,,,86.4,92.46666667
2025-06-13 10:28,HL7585,KAL689,RKSI,VDPP,93,21,,,93.6,87.6
2025-06-13 8:52,HL8027,KAL485,RKSI,VVPQ,93,30,,,82.8,90.33333333
2025-06-13 8:02,HL8002,KAL633,RKSI,WADD,100,26,,,94.6,86.66666667
2025-06-13 4:57,HL8026,KAL695,RKSI,VNKT,94,31,,,82.6,85.4
2025-06-13 4:29,HL8001,KAL951,RKSI,OMDB,94,34,,,79,81.46666667
2025-06-13 0:14,HL8027,KAL137,RKSI,ZHHH,93,30,,,82.8,81.93333333
2025-06-12 23:54,HL7554,KAL197,RKSI,ZMCK,99,34,,,84,87.6
2025-06-12 23:49,HL7720,KAL827,RKSI,ZGSZ,99,24,,,96,91.2
2025-06-12 23:13,HL7701,KAL831,RKSI,ZYTX,93,21,,,93.6,90.4
2025-06-12 10:04,HL8027,KAL689,RKSI,VDPP,93,31,,,81.6,89.86666667
2025-06-12 10:00,HL8002,KAL671,RKSI,WMKK,101,27,,,94.4,85.8
2025-06-12 4:56,HL8026,KAL951,RKSI,OMDB,100,37,,,81.4,86.26666667
2025-06-12 4:16,HL8003,KAL497,RKSI,VIDP,104,39,,,83,86.13333333
2025-06-12 1:15,HL8002,KAL811,RKSI,ZLXY,103,29,,,94,89.6
2025-06-11 21:59,HL8025,KAL141F,RKSI,RKPK,90,20,,,91.8,89.33333333
2025-06-11 11:10,HL8027,KAL407,RKSI,YBBN,90,28,,,82.2,88.8
2025-06-11 10:06,HL7701,KAL667,RKSI,VTCC,93,22,,,92.4,86.26666667
2025-06-11 10:06,HL8003,KAL689,RKSI,VDPP,98,33,,,84.2,87.4
2025-06-11 8:09,HL8026,KAL671,RKSI,WMKK,97,31,,,85.6,88.66666667
2025-06-11 8:01,HL8002,KAL633,RKSI,WADD,104,28,,,96.2,88.2
2025-06-11 4:31,HL8027,KAL869,RKSI,ZYTL,93,30,,,82.8,91.2
2025-06-11 0:18,HL8025,KAL811,RKSI,ZLXY,94,21,,,94.6,87.26666667
2025-06-10 23:54,HL7554,KAL865,RKSI,ZGGG,97,32,,,84.4,88.8
2025-06-10 23:50,HL8003,KAL827,RKSI,ZGSZ,100,32,,,87.4,88.93333333
2025-06-10 23:18,HL7701,KAL197,RKSI,ZMCK,92,19,,,95,89.8
2025-06-10 23:12,HL8026,KAL831,RKSI,ZYTX,96,29,,,87,89.8
2025-06-10 8:20,HL8003,KAL671,RKSI,WMKK,100,32,,,87.4,89.6
2025-06-10 7:20,HL8025,KAL633,RKSI,WADD,95,22,,,94.4,89
2025-06-10 4:35,HL8026,KAL497,RKSI,VIDP,93,28,,,85.2,89.33333333
2025-06-10 1:46,HL8003,KAL741,RKSI,RJGG,95,27,,,88.4,86.46666667
2025-06-10 0:01,HL7554,KAL865,RKSI,ZGGG,96,30,,,85.8,84.66666667
2025-06-09 23:26,HL8001,KAL197,RKSI,ZMCK,90,30,,,79.8,86.86666667
2025-06-09 23:14,HL8025,KAL831,RKSI,ZYTX,92,19,,,95,89.86666667
2025-06-09 14:47,HL7585,KAL647,RKSI,WSSS,93,20,,,94.8,94.93333333
2025-06-09 11:59,HL7701,KAL719,RKSI,RJTT,92,19,,,95,94.93333333
2025-06-09 11:13,HL8002,KAL407,RKSI,YBBN,98,24,,,95,94.53333333
